min_age,max_age,ward_type,freq,los_mean,los_sd
24,24,midduration,0.0101128668171558,3.77038542944907,1.14153338124351
25,25,midduration,0.0115575620767494,3.75778289014434,1.09566281174175
26,26,midduration,0.0122799097065463,3.70298159333675,1.08705738892122
27,27,midduration,0.0115575620767494,3.686124284525,1.08773687840596
28,28,midduration,0.0099322799097065,3.89448172138168,1.12161422085286
29,29,midduration,0.0130022573363431,3.9169485394257095,0.9627017365085088
30,30,midduration,0.0111060948081264,3.5838103389822495,1.13073336562222
31,31,midduration,0.0131828442437923,3.76496272988457,1.10099412471973
32,32,midduration,0.0139954853273138,3.83354678880676,1.22287821621928
33,33,midduration,0.0106546275395034,3.6407295016006,1.29464010236235
34,34,midduration,0.0120090293453725,3.98283417223184,0.977182615301179
35,35,midduration,0.010293453724605,3.90414023072666,1.06912717318492
